POINTNAME,POINTNUMBER,UNIT,ASSETID,CIRCUIT,STATIONNAME
0044618 - Volts,1167661,VOLTS,DMS.742956E:0044618,TAKNING,ALHAMBRA
0005079 - Volts,876215,VOLTS,DMS.1430542E:0005079,ST. CHARLES,ALHAMBRA
RSR2052 - Demand IA,847934,AMPS,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR2052 - Max Demand IG,847965,AMPS,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR2052 - Ground Trip,847971,AMPS,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RFI01484B - Conductor Temp,1784333,DEG C,DMS.4353599E:RFI01484B,TRI CITY,ALHAMBRA
0211770 - Volts,886518,VOLTS,DMS.5728519:0211770,KAY,ALHAMBRA
RSR1186 - Demand IA,836181,AMPS,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1186 - VA,836178,KV,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1230 - Max Demand IG,855345,AMPS,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - Ground Trip,855351,AMPS,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - VS,855346,KV,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - KW A,855368,KW,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR2078 - Max Demand IA,814880,AMPS,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR2078 - KW C,814898,KW,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR1493 - Max Demand IG,813912,AMPS,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - 3I2,862516,AMPS,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - KW B,813908,KW,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1048 - Demand IB,821471,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - 3I2,862238,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR8087 - Demand IA,867706,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - VS,867738,KV,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - KW C,867736,KW,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR1003 - Demand IB,844099,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - VS,844125,KV,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - KW 3PH,844148,KW,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
0208260 - Volts,1012565,VOLTS,DMS.4134171E:0208260,ALMANSOR,ALHAMBRA
RAR1599 - Phase Trip,1235036,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
RAR1599 - Ground Trip,1235037,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
RAR1599 - Demand I-G,1896945,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
RAR1599 - Instant. I-3,1896952,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
0038301 - Volts,1171436,VOLTS,DMS.2336336E:0038301,MARGUERITA,ALHAMBRA
0045126 - Volts,910235,VOLTS,DMS.199103E:0045126,ASTEROID,ALHAMBRA
0013261 - Volts,806285,VOLTS,DMS.2288467E:0013261,HOOVER,ALHAMBRA
0005069 - Volts,1089559,VOLTS,DMS.4664301E:0005069,CRESTA,ALHAMBRA
RSR2052 - Demand IC,847963,AMPS,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR2052 - VA,847931,KV,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR2052 - VB,847958,KV,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR2052 - KW 3PH,847989,KW,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
0002152 - Volts,852614,VOLTS,DMS.2354467E:0002152,TEST,ALHAMBRA
RSR1186 - VC,836201,KV,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1186 - KW A,836230,KW,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1186 - KW C,836206,KW,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1230 - Demand IA,855314,AMPS,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - KW B,855341,KW,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
0115931 - Volts,982505,VOLTS,DMS.4808271E:0115931,CRESTA,ALHAMBRA
RFI00660C - Conductor Temp,1759393,DEG C,DMS.1723109E:RFI00660C,MARGUERITA,ALHAMBRA
RSR2078 - Max Demand IG,814899,AMPS,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR2078 - Max Demand IC,814910,AMPS,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR2078 - Demand IG,814848,AMPS,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR2078 - KW A,814906,KW,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR1493 - Phase Trip,813884,AMPS,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - Max Demand IA,813909,AMPS,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - Max Demand IC,813939,AMPS,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - VA,813878,KV,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - VB,813889,KV,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR0342 - IC,821050,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - IA,821056,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - KW C,821029,KW,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR1048 - Demand IG,821445,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RFI22267A - Conductor Temp,1779353,DEG C,DMS.4168292E:RFI22267A,ASTEROID,ALHAMBRA
RSR8087 - Fault Current,867729,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - IB,867740,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - VB,867730,KV,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - KW A,867760,KW,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR1003 - IA,844150,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - VA,844090,KV,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
0005070 - Volts,1153936,VOLTS,DMS.4808270E:0005070,CRESTA,ALHAMBRA
0115858 - Volts,833083,VOLTS,DMS.278307E:0115858,KAY,ALHAMBRA
0208313 - Volts,968675,VOLTS,DMS.2004959E:0208313,BRAUN,ALHAMBRA
RAR1599 - Instant. I-G,1896953,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
RAR1599 - Max Demand I-1,1896954,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
0005073 - Volts,924815,VOLTS,DMS.1952093E:0005073,KAY,ALHAMBRA
0022040 - Volts,876485,VOLTS,DMS.1547254E:0022040,ASTEROID,ALHAMBRA
0045125 - Volts,808265,VOLTS,DMS.225598E:0045125,ASTEROID,ALHAMBRA
RSR2052 - Demand IG,847930,AMPS,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR2052 - IC,847969,AMPS,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR2052 - IA,847991,AMPS,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR2052 - 3I2,862930,AMPS,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR2052 - KW C,847964,KW,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
0038442 - Volts,834621,VOLTS,DMS.395711E:0038442,KAY,ALHAMBRA
RSR1186 - Max Demand IA,836204,AMPS,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1186 - Fault Current,836199,AMPS,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1186 - V2,862667,KV,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1230 - Max Demand IA,855342,AMPS,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - IB,855348,AMPS,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - IC,855349,AMPS,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
0038300 - Volts,1127436,VOLTS,DMS.4417225E:0038300,CRESTA,ALHAMBRA
RFI00660B - Conductor Temp,1754833,DEG C,DMS.1723109E:RFI00660B,MARGUERITA,ALHAMBRA
RSR2078 - Ground Trip,814905,AMPS,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR2078 - Max Demand IB,814845,AMPS,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR2078 - Phase Trip,814871,AMPS,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR2078 - Demand IB,814874,AMPS,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR2078 - Demand IC,814881,AMPS,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR2078 - 3I2,862538,AMPS,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR2078 - V2,862521,KV,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR2078 - KW B,814879,KW,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR1493 - Max Demand IB,813858,AMPS,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR0342 - IB,821049,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - 3I2,862758,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - VS,821031,KV,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - V2,862757,KV,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - KW A,821053,KW,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR1048 - Max Demand IB,821442,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - Phase Trip,821468,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - V2,862221,KV,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - KW B,821476,KW,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - KW 3PH,821504,KW,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RFI22267C - Conductor Temp,1779393,DEG C,DMS.4168292E:RFI22267C,ASTEROID,ALHAMBRA
RSR8087 - Demand IG,867702,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR1003 - IC,844128,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - Ground Trip,844130,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - V2,863241,KV,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
0208273 - Volts,1015445,VOLTS,DMS.550488E:0208273,TRI CITY,ALHAMBRA
0013268 - Volts,967805,VOLTS,DMS.1387784E:0013268,BRUNNER,ALHAMBRA
RAR1599 - Volts,1896968,KV,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
0045123 - Volts,1171336,VOLTS,DMS.1723477E:0045123,TEST,ALHAMBRA
0038288 - Volts,801575,VOLTS,DMS.759380H:0038288,KAY,ALHAMBRA
RSR2052 - Max Demand IA,847962,AMPS,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR1186 - Ground Trip,836229,AMPS,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1186 - Demand IG,836177,AMPS,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1186 - 3I2,862668,AMPS,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1230 - IG,855318,AMPS,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - Demand IB,855320,AMPS,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - Demand IC,855343,AMPS,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - KW C,855344,KW,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR2078 - VC,814877,KV,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR2078 - KW 3PH,814907,KW,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR1493 - IG,813885,AMPS,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - VS,813913,KV,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR0342 - Max Demand IB,820992,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - Demand IA,820999,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - Demand IB,821021,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - Max Demand IG,821030,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR1048 - Max Demand IG,821480,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - IB,821499,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - Ground Trip,821502,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - VC,821474,KV,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR8087 - IG,867710,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - Max Demand IG,867737,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - V2,876616,KV,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - VC,867731,KV,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR1003 - IG,844097,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - Max Demand IA,844121,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - VC,844118,KV,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
0045124 - Volts,1000115,VOLTS,DMS.1658447E:0045124,TEST,ALHAMBRA
0208262 - Volts,1017005,VOLTS,DMS.4090928E:0208262,BRAUN,ALHAMBRA
0208016 - Volts,985205,VOLTS,DMS.4761913E:0208016,COMMONWEALTH,ALHAMBRA
0208047 - Volts,985085,VOLTS,DMS.4429585E:0208047,GRAVES,ALHAMBRA
RAR1599 - Demand I-2,1896943,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
RAR1599 - Instant. I-1,1896950,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
0005391 - Volts,922685,VOLTS,DMS.1417296E:0005391,ASTEROID,ALHAMBRA
0040150 - Volts,878645,VOLTS,DMS.1723492E:0040150,ASTEROID,ALHAMBRA
0050360 - Volts,808385,VOLTS,DMS.1237553E:0050360,TRI CITY,ALHAMBRA
0045952 - Volts,808295,VOLTS,DMS.4538660E:0045952,GRAVES,ALHAMBRA
0045106 - Volts,802235,VOLTS,DMS.1430283E:0045106,TAKNING,ALHAMBRA
0045102 - Volts,802205,VOLTS,DMS.1918953E:0045102,KAY,ALHAMBRA
0005076 - Volts,800375,VOLTS,DMS.1430295E:0005076,TAKNING,ALHAMBRA
